# form	pos	lemma	sense	freq
ཁ་སྤྲིས			
ཁ་སྤྲོད			63
ཁ་སྦོན			
ཁ་སྦྱར			158
ཁ་སྦྱོར			1938
ཁ་སྨར་བ			
ཁ་སྨྲང			
ཁ་སྨྲས			59
ཁ་སྲ་བོ			
ཁ་སྲི			
ཁ་སླ་བ			
ཁ་སླེ་ཡོན			
ཁ་སློག			
ཁ་སློང			1
ཁ་སློབ			9
ཁག			605
ཁག་ཁག			2
ཁག་གཅིག			
ཁག་གཡོགས			
ཁག་ཐེག			
ཁག་པོ			55
ཁག་བགོ			
ཁག་མེད			2
ཁག་འཁུར			
ཁག་འཁྱག			
ཁག་འཁྲིས			
ཁག་འགན			
ཁག་འགེལ			
ཁག་འཇོག			
ཁག་འཛུད			
ཁག་རུབ			
ཁག་སྐུར			
ཁག་སྦྱོང			3
ཁང་ཁུངས			
ཁང་ཁོངས			
ཁང་ཁྱིམ			511
ཁང་ཁྲལ			
ཁང་གཉེར			
ཁང་གཞི	NOUN		1
ཁང་གསོལ			
ཁང་གླ			
ཁང་ཆེན			402
ཁང་ཐོག			182
ཁང་དམར			13
ཁང་པ	NOUN		4730
ཁང་བདག			6
ཁང་བཟང			1078
ཁང་བུ	NOUN		593
ཁང་བྱིའུ			
ཁང་བྱེའུ			
ཁང་བྱེལ			
ཁང་མཚེས			
ཁང་མིག			48
ཁང་མོ་ཆེ			10
ཁང་ཚན			8
ཁང་ཞིང			19
ཁང་འཛིན			
ཁང་རུལ			40
ཁང་རོ			
ཁང་རོ་ཚྭ་ཁ			
ཁང་རྨང			15
ཁང་རྩ			
ཁང་རྩིག			2
ཁང་སྒྲོམ			107
ཁང་སྤྱིལ			
ཁད	VERB		820
ཁད་མཉམ			13
ཁད་རྒྱང			
ཁད་སྙོམས་པོ			
ཁན་པ			
ཁན་འདེ			
ཁབ	NOUN		4897
ཁབ་ཁ			
ཁབ་ཁོབ			
ཁབ་ཆེན་མ			
ཁབ་བཙའ			
ཁབ་མགོ			1
ཁབ་མིག			43
ཁབ་རལ			42
ཁབ་རྩེ			6
ཁབ་ལེན			69
ཁབ་སོ			2
ཁབ་སྣོད			
ཁབ་སྲུབ			1
ཁབས			2
ཁམ			2097
ཁམ་ཁུམ			
ཁམ་ཆུ			
ཁམ་ཆུང			8
ཁམ་ཆེན			
ཁམ་དཀར			1
ཁམ་དམར			1
ཁམ་ནག			181
ཁམ་པ	NOUN		333
ཁམ་ཕོར			158
ཁམ་བུ	NOUN		93
ཁམ་མདོག			
ཁམ་ཚད			13
ཁམ་ཚིག			1
ཁམ་ཚོད			
ཁམ་ཟས			83
ཁམ་འཕྲོ			2
ཁམ་ས			4
ཁམ་སེར			40
ཁམ་སྟར			
ཁམ་སྡོང			
ཁམ་སྨུག			
ཁམས	NOUN		100683
ཁམས་གསེང			
ཁམས་གསོ			
ཁམས་པ	PROPN		906
ཁམས་བརྟས			
ཁམས་བསིལ			
ཁམས་བྲིས			
ཁམས་ཚན			
ཁམས་ཞྭ			
ཁམས་ཟངས			
ཁམས་འདྲི			
ཁམས་རིས			
ཁམས་རྡིག			
ཁམས་སྟོད			
ཁམས་སྨད			1
ཁམས་སླང			
ཁམས་སླེའུ			
ཁར་ཁོར			
ཁར་གོང			
ཁར་དབང			
ཁར་རྗེ			3
ཁར་རྩང			8
ཁར་སང			84
ཁལ			879
ཁལ་ཁ			7
ཁལ་གཡག			1
ཁལ་ཇགས			
ཁལ་དོ			
ཁལ་དྲེའུ			
ཁལ་པ			
ཁལ་མ			3
ཁལ་འཕྱགས			
ཁལ་རྒྱབ			
ཁལ་རྔ			
ཁལ་རྟ			
ཁལ་རྫ			
ཁལ་སྒ			
ཁལ་སྡེམ			
ཁས་ཉིན			
ཁས་དམན			1
ཁས་བརྗོད			
ཁས་ལེན			2428
ཁས་ས			2
ཁི་འུ			
ཁིས་མགོ			
ཁུ			1233
ཁུ་ཁོག			
ཁུ་ཁྲག			469
ཁུ་གདུས			
ཁུ་གུ			7
ཁུ་གེ			
ཁུ་ཆུ			72
ཁུ་ཐུ་ཆི			
ཁུ་དབོན			159
ཁུ་ནུ་ལ			
ཁུ་པ			5
ཁུ་བ	NOUN		4298
ཁུ་བ་བྱེད			
ཁུ་བ་མ			
ཁུ་བསྡུས			
ཁུ་བོ	NOUN		177
ཁུ་བྱུག			409
ཁུ་ཚན			26
ཁུ་ཚུར			3157
ཁུ་འཕངས			4
ཁུ་འཕྲིག			75
ཁུ་འབངས			1
ཁུ་ཡུ			13
ཁུ་ཡུག			1
ཁུ་ཡེ			1
